seismic,seismoacoustic,shift,genergy,gpuls,gdenergy,gdpuls,ghazard,nbumps,nbumps2,nbumps3,nbumps4,nbumps5,energy,maxenergy,class
a,a,N,9487,282,14,11,a,0,1,0,0,0,1806,1806,0
b,a,W,95456,245,-50,2,a,1,0,0,0,0,446,446,0
b,a,N,154820,113,4,19,a,0,0,0,0,0,0,0,0
a,a,N,28051,103,-12,34,a,1,0,0,0,0,919,919,0
a,c,W,73424,314,59,-19,a,0,1,0,0,0,3587,3587,0
a,a,N,97364,29,13,33,a,0,1,0,0,0,3483,3483,0
b,c,N,8858,277,23,0,a,0,0,0,0,0,0,0,0
a,a,N,4897,443,22,-3,a,0,1,0,0,0,1054,1054,0
a,c,N,5152,227,23,8,c,0,1,0,0,0,3088,3088,0
a,a,N,59893,356,56,-49,a,0,0,0,0,0,0,0,0
a,b,W,11297,417,-20,25,a,1,0,0,0,0,159,159,0
a,c,N,86783,926,-42,-19,a,1,0,0,0,0,791,791,0
a,a,N,10228,125,5,74,a,0,1,0,0,0,4677,4677,0
c,a,W,8542,597,-15,-51,a,0,0,0,0,0,0,0,0
a,a,W,19736,14,-29,13,a,0,0,0,0,0,0,0,0
a,a,W,42440,88,18,10,a,0,0,0,0,0,0,0,0
a,b,W,27566,477,-21,-31,a,1,0,0,0,0,704,704,0
a,a,N,4896,85,-26,-12,a,0,1,0,0,0,1464,1464,0
a,b,N,10777,103,3,11,c,1,0,0,0,0,817,817,0
a,a,N,29486,171,-25,42,a,0,0,0,0,0,0,0,0
b,a,N,50027,78,9,23,a,0,0,0,0,0,0,0,0
a,a,N,27612,46,-3,18,a,0,1,0,0,0,1860,1860,0
a,a,N,138691,225,-3,4,a,1,0,0,0,0,242,242,0
a,a,N,25810,173,12,21,b,0,0,0,0,0,0,0,0
a,b,W,19355,660,8,43,a,1,0,0,0,0,501,501,0
a,b,N,64301,526,-11,-16,a,0,0,0,0,0,0,0,0
a,a,W,27543,224,-2,25,a,0,0,0,0,0,0,0,0
a,a,W,3755,157,-26,-16,c,0,0,0,0,0,0,0,0
b,a,W,2501,205,-18,5,a,1,0,0,0,0,401,401,0
a,a,N,17476,498,-22,-2,a,0,1,0,0,0,1136,1136,0
a,a,N,46727,291,52,-7,a,0,1,0,0,0,2452,2452,0
a,a,W,38423,380,9,7,b,0,0,0,0,0,0,0,0
a,b,N,17351,309,-22,2,a,1,0,0,0,0,200,200,0
a,a,N,51912,272,40,-28,a,0,0,0,0,0,0,0,0
b,a,W,50731,14,-21,13,a,1,0,0,0,0,464,464,0
a,c,W,8590,673,19,-36,a,0,0,0,0,0,0,0,0
a,a,N,20868,456,-30,9,b,0,0,0,0,0,0,0,0
a,b,W,23480,388,-37,8,a,1,0,0,0,0,632,632,0
a,a,W,33050,603,-41,0,a,0,1,0,0,0,4059,4059,0
a,a,W,3803,367,16,-1,c,1,0,0,0,0,965,965,0
b,a,N,20740,249,5,13,a,0,0,0,0,0,0,0,0
a,a,N,14731,104,26,-32,a,1,0,0,0,0,423,423,0
a,a,W,61758,29,21,18,a,0,0,0,0,0,0,0,0
a,a,W,8276,37,-12,-12,a,0,1,0,0,0,2400,2400,0
a,a,N,157248,617,109,72,a,0,0,1,0,0,64296,21413,1
a,a,N,20611,77,10,7,a,0,0,0,0,0,0,0,0
a,a,N,11022,267,73,-29,a,1,0,0,0,0,139,139,0
a,b,N,13685,124,36,-14,a,0,0,0,0,0,0,0,0
b,b,N,30229,122,7,12,b,0,0,0,0,0,0,0,0
a,a,N,111519,420,0,6,b,0,0,1,0,0,54383,25917,1
a,c,W,57932,1470,36,74,a,0,0,1,0,0,103817,41013,1
b,a,W,30497,618,11,-52,b,1,0,0,0,0,953,953,0
a,a,W,9322,1639,-3,28,a,0,1,0,0,0,7939,7939,0
b,a,N,99429,220,35,29,b,0,0,0,0,0,0,0,0
a,b,W,17345,862,4,-12,a,0,0,0,0,0,0,0,0
a,b,W,129073,31,36,42,a,0,0,0,0,0,0,0,0
a,a,W,7918,376,19,-1,a,0,0,0,0,0,0,0,0
a,a,W,3188,356,25,12,a,0,0,0,0,0,0,0,0
a,a,W,57825,982,35,7,a,0,1,0,0,0,1535,1535,0
b,a,W,37009,34,-13,-3,a,0,1,0,0,0,2698,2698,0
a,a,W,2129,175,-41,15,b,1,0,0,0,0,176,176,0
a,a,N,42068,282,-4,5,a,0,0,0,0,0,0,0,0
a,a,W,47802,111,-18,-15,a,0,0,0,0,0,0,0,0
a,a,W,42128,287,-15,-4,b,0,0,0,0,0,0,0,0
a,b,N,711485,2287,43,53,a,0,0,1,0,0,94107,55856,1
a,a,W,10118,199,-3,-19,b,1,0,0,0,0,625,625,0
a,a,N,27416,1276,-51,-11,a,1,0,0,0,0,363,363,0
a,a,W,57032,128,-42,-32,a,1,0,0,0,0,711,711,0
c,c,N,13607,1121,-12,-23,a,1,0,0,0,0,372,372,0
a,a,W,70998,60,15,21,b,1,0,0,0,0,172,172,0
c,a,W,34610,60,-34,0,a,0,1,0,0,0,1302,1302,0
a,a,W,35235,105,9,0,a,0,0,0,0,0,0,0,0
a,a,W,18629,386,52,-8,a,1,0,0,0,0,662,662,0
b,a,W,30889,340,5,-25,b,0,0,0,0,0,0,0,0
a,a,N,51709,856,51,-1,a,0,0,0,0,0,0,0,0
b,a,W,24743,208,6,-6,a,0,0,0,0,0,0,0,0
a,a,N,5602,369,-7,-7,a,0,1,0,0,0,1076,1076,0
b,a,W,106876,67,32,0,a,0,0,0,0,0,0,0,0
a,a,W,19041,1064,-26,10,a,0,0,0,0,0,0,0,0
a,c,W,30610,71,-77,-6,a,1,0,0,0,0,653,653,0
a,b,N,82725,287,-33,5,a,0,0,0,0,0,0,0,0
b,a,N,17424,489,37,-21,a,0,0,0,0,0,0,0,0
a,a,N,30802,133,-20,-16,a,0,0,0,0,0,0,0,0
a,b,N,73521,96,40,41,a,0,0,0,0,0,0,0,0
a,b,N,2924,151,-62,-14,a,1,0,0,0,0,528,528,0
a,b,W,4446,209,4,14,a,0,0,0,0,0,0,0,0
a,a,W,91437,472,47,-5,a,0,0,0,0,0,0,0,0
a,a,N,6873,210,10,4,b,0,0,0,0,0,0,0,0
a,c,N,129832,1727,115,86,a,0,0,1,0,0,31492,24141,1
a,c,W,37405,87,15,98,a,0,1,0,0,0,2217,2217,0
b,a,W,2804,20,19,18,a,0,1,0,0,0,1602,1602,0
a,c,N,9494,132,7,-22,a,0,0,0,0,0,0,0,0
a,b,N,12548,67,57,21,a,1,0,0,0,0,955,955,0
a,a,W,9284,253,-5,16,a,0,1,0,0,0,3882,3882,0
a,a,N,3395,15,-7,-11,a,0,1,0,0,0,3507,3507,0
a,a,W,19980,113,15,4,b,1,0,0,0,0,807,807,0
b,a,N,11799,293,26,-37,b,0,1,0,0,0,2269,2269,0
a,c,N,33037,221,26,36,a,0,0,0,0,0,0,0,0
a,a,W,162564,122,25,-11,a,1,0,0,0,0,830,830,0
a,b,W,4262,1447,-14,-28,a,0,1,0,0,0,1557,1557,0
b,b,N,93395,29,-30,23,a,1,0,0,0,0,193,193,0
a,a,W,15618,188,-5,-40,a,0,0,0,0,0,0,0,0
a,a,N,38955,427,-16,-21,a,0,1,0,0,0,2803,2803,0
a,a,N,5267,861,19,-27,a,0,0,0,0,0,0,0,0
a,a,W,19538,164,-24,25,b,0,1,0,0,0,4318,4318,0
a,a,W,13426,43,-15,-26,a,0,1,0,0,0,1159,1159,0
a,a,W,20671,543,-30,0,a,1,0,0,0,0,255,255,0
a,a,N,41116,908,-36,-5,a,0,0,0,0,0,0,0,0
a,a,W,5338,247,-27,4,a,0,1,0,0,0,4654,4654,0
b,a,W,73230,232,-49,-24,a,0,1,0,0,0,2405,2405,0
a,a,W,1380,535,-21,-6,a,0,0,0,0,0,0,0,0
a,c,N,31788,86,12,52,a,0,1,0,0,0,4520,4520,0
a,a,W,4814,66,-47,9,a,0,0,0,0,0,0,0,0
a,b,W,20280,483,-57,-21,a,1,0,0,0,0,64,64,0
a,c,W,2808,26,-32,5,a,0,0,0,0,0,0,0,0
a,b,W,41851,694,-64,-8,a,0,1,0,0,0,2734,2734,0
a,a,N,16760,501,8,-7,a,1,0,0,0,0,795,795,0
a,b,N,16529,742,36,-11,a,0,1,0,0,0,1667,1667,0
a,a,N,61729,155,-15,5,a,0,0,0,0,0,0,0,0
a,a,N,20111,286,-34,-7,a,0,1,0,0,0,5532,5532,0
b,b,W,38390,1073,-13,13,a,0,1,0,0,0,1651,1651,0
a,a,N,10565,225,-17,5,a,0,0,0,0,0,0,0,0
a,c,W,16329,249,-3,-7,a,0,1,0,0,0,1032,1032,0
a,a,N,21179,698,-32,-44,b,0,0,0,0,0,0,0,0
b,a,W,40426,332,13,-43,a,0,0,0,0,0,0,0,0
a,a,W,2035,723,-45,8,b,1,0,0,0,0,339,339,0
a,b,W,25430,404,-67,-16,a,0,0,0,0,0,0,0,0
a,a,N,14322,110,59,8,b,1,0,0,0,0,191,191,0
a,b,N,20579,404,7,-9,b,0,0,0,0,0,0,0,0
a,a,N,25293,180,-58,3,a,1,0,0,0,0,574,574,0
a,a,W,30787,128,16,20,a,0,0,0,0,0,0,0,0
a,a,N,42755,127,39,-29,a,0,0,0,0,0,0,0,0
a,a,W,58293,889,-25,54,a,0,1,0,0,0,1022,1022,0
a,a,N,54024,1822,-21,9,b,1,0,0,0,0,424,424,0
a,a,N,98622,69,-3,-67,a,0,0,0,0,0,0,0,0
a,a,N,88087,459,44,-11,b,1,0,0,0,0,279,279,0
a,b,N,455838,355,111,117,a,0,0,1,0,0,32261,20484,1
b,a,N,10321,17,-32,-22,a,0,0,0,0,0,0,0,0
a,a,W,12492,107,-57,32,c,1,0,0,0,0,73,73,0
a,a,N,2017,272,-32,-20,a,1,0,0,0,0,22,22,0
a,a,N,42873,145,-52,8,a,0,1,0,0,0,1670,1670,0
a,a,N,44257,105,-42,1,a,0,0,0,0,0,0,0,0
a,a,W,4424,168,-21,-17,b,0,0,0,0,0,0,0,0
b,a,N,60497,809,4,-12,a,1,0,0,0,0,200,200,0
a,a,N,12855,108,0,-16,b,0,0,0,0,0,0,0,0
a,a,W,21425,132,-43,6,a,0,1,0,0,0,1003,1003,0
b,a,N,9187,115,-13,-17,a,0,0,0,0,0,0,0,0
a,a,W,16678,167,9,30,a,0,0,0,0,0,0,0,0
b,b,W,15412,497,15,-8,a,1,0,0,0,0,566,566,0
a,a,N,80113,115,25,8,a,0,0,0,0,0,0,0,0
a,b,W,326363,432,88,132,a,0,0,1,0,0,38490,27718,1
a,b,N,51401,5747,79,-43,a,0,1,0,0,0,12877,8762,1
a,a,W,7481,140,-12,17,a,0,0,0,0,0,0,0,0
b,b,N,23067,299,46,27,a,0,1,0,0,0,1059,1059,0
a,a,W,25309,320,27,13,a,0,0,0,0,0,0,0,0
a,b,W,29432,463,-5,-41,a,1,0,0,0,0,32,32,0
b,a,W,24720,75,-23,20,a,0,0,0,0,0,0,0,0
a,a,N,406197,380,51,91,a,0,0,1,0,0,31320,11365,1
b,a,W,207359,1359,1,123,b,0,0,1,0,0,67301,36684,1
b,b,N,52223,86,34,-31,a,0,1,0,0,0,2357,2357,0
a,a,N,37968,96,32,8,b,0,0,0,0,0,0,0,0
a,b,W,2611,407,-47,42,a,1,0,0,0,0,835,835,0
a,b,N,5729,18,-32,47,a,0,0,0,0,0,0,0,0
a,a,N,28803,67,-12,31,a,0,0,0,0,0,0,0,0
b,a,W,58392,278,-23,0,a,0,0,0,0,0,0,0,0
a,a,N,4296,285,26,17,a,1,0,0,0,0,833,833,0
a,a,N,978789,1366,84,98,a,0,0,1,0,0,43632,17200,1
a,b,W,11238,433,35,35,b,0,0,0,0,0,0,0,0
a,c,W,32502,14,-2,-79,a,0,1,0,0,0,2609,2609,0
a,b,W,14408,684,-11,6,a,0,1,0,0,0,2070,2070,0
a,c,W,1001,383,39,5,a,0,0,0,0,0,0,0,0
a,a,N,132223,1566,48,12,a,0,0,0,1,0,277357,120375,1
b,a,N,6198,35,42,-62,a,0,1,0,0,0,3540,3540,0
a,b,N,73395,1635,-7,-49,a,0,0,0,0,0,0,0,0
b,b,W,14411,211,-23,-9,a,0,1,0,0,0,3925,3925,0
a,a,N,36026,51,-47,11,a,0,1,0,0,0,1727,1727,0
a,a,W,58054,176,-35,11,a,0,0,0,0,0,0,0,0
b,b,N,1910,110,-19,17,a,0,0,0,0,0,0,0,0
a,a,W,9967,250,76,-16,a,0,0,0,0,0,0,0,0
b,a,N,28283,36,0,11,a,0,0,0,0,0,0,0,0
a,a,N,3415,24,0,-14,a,0,0,0,0,0,0,0,0
a,c,W,41913,97,-33,3,a,1,0,0,0,0,735,735,0
b,b,N,79430,33,17,-23,b,0,1,0,0,0,4766,4766,0
a,b,N,29454,143,9,4,a,0,1,0,0,0,4845,4845,0
a,a,N,130363,547,-28,40,a,1,0,0,0,0,721,721,0
a,a,N,50406,191,43,6,b,0,1,0,0,0,1063,1063,0
b,a,W,14394,270,-5,-12,a,0,0,0,0,0,0,0,0
b,c,N,25677,62,9,0,a,0,0,0,0,0,0,0,0
a,a,W,1006,295,-15,4,a,0,1,0,0,0,1916,1916,0
c,a,W,59818,856,-15,-12,b,0,1,0,0,0,2092,2092,0
a,b,W,11655,233,-25,-9,a,0,0,0,0,0,0,0,0
b,a,N,18400,63,-29,17,a,0,0,0,0,0,0,0,0
a,c,W,2500,145,33,-14,a,1,0,0,0,0,207,207,0
a,a,W,28199,34,-8,-7,a,0,1,0,0,0,1668,1668,0
b,a,W,74852,255,-22,4,a,0,0,0,0,0,0,0,0
a,a,N,99218,432,-18,-25,a,0,1,0,0,0,1766,1766,0
c,b,N,55858,752,5,-2,b,1,0,0,0,0,891,891,0
a,b,W,5647,634,46,-39,b,0,0,0,0,0,0,0,0
a,a,W,57626,200,5,11,a,0,1,0,0,0,1098,1098,0
b,a,N,23973,507,25,-8,a,0,0,0,0,0,0,0,0
c,b,W,1454,87,59,-20,a,0,0,0,0,0,0,0,0
a,a,N,17785,26,48,-6,a,0,0,0,0,0,0,0,0
a,a,W,83584,551,9,30,a,0,0,0,0,0,0,0,0
b,a,N,16244,492,-1,18,a,0,1,0,0,0,1617,1617,0
b,b,N,21631,14,68,22,a,0,0,0,0,0,0,0,0
a,a,N,9718,304,13,10,a,0,0,0,0,0,0,0,0
a,a,W,55248,109,-17,5,b,0,0,0,0,0,0,0,0
b,c,W,21408,63,16,-36,a,1,0,0,0,0,407,407,0
a,a,N,18020,588,32,-9,b,0,0,0,0,0,0,0,0
c,a,N,6496,221,31,68,a,0,0,0,0,0,0,0,0
a,a,W,183630,77,63,14,a,0,0,0,0,0,0,0,0
a,c,N,2632,885,21,-1,a,0,1,0,0,0,3692,3692,0
a,b,W,145799,487,-21,-32,a,0,1,0,0,0,2827,2827,0
a,a,N,160491,355,29,-30,b,0,1,0,0,0,5951,5951,0
a,b,N,7516,27,-79,-8,a,1,0,0,0,0,804,804,0
c,a,W,49373,740,131,83,a,0,0,1,0,0,24782,12872,1
a,c,W,18481,91,-37,12,a,1,0,0,0,0,203,203,0
b,a,N,32009,45,-5,-8,a,1,0,0,0,0,806,806,0
a,b,W,16074,467,3,1,c,0,0,0,0,0,0,0,0
b,a,N,46858,211,-17,26,a,0,0,0,0,0,0,0,0
a,a,W,46939,173,-22,0,b,0,0,0,0,0,0,0,0
a,b,N,7998,955,38,-55,a,0,0,0,0,0,0,0,0
a,a,W,19039,229,38,15,a,0,0,1,0,0,11325,11325,0
a,a,W,968345,263,0,125,a,0,0,1,0,0,60855,40749,1
c,b,N,19412,141,-78,-13,b,0,0,0,0,0,0,0,0
a,a,N,16500,280,-33,14,b,0,0,0,0,0,0,0,0
a,a,N,14242,86,-1,-4,b,0,0,0,0,0,0,0,0
a,c,N,54028,258,-16,38,a,0,0,0,0,0,0,0,0
a,a,N,8624,225,-11,-15,a,0,0,0,0,0,0,0,0
a,a,N,20011,284,-24,-43,a,0,0,0,0,0,0,0,0
a,b,W,84514,93,19,3,a,0,0,0,0,0,0,0,0
a,c,N,7707,201,-26,34,a,1,0,0,0,0,191,191,0
c,a,N,5688,97,28,4,a,0,0,0,0,0,0,0,0
a,a,N,32803,508,-30,-21,a,0,1,0,0,0,1123,1123,0
a,b,N,116394,465,49,104,a,0,0,1,0,0,28629,12997,1
b,a,W,32553,277,2,-32,b,0,0,0,0,0,0,0,0
a,a,N,9427,109,-47,37,b,0,0,0,0,0,0,0,0
b,b,N,70694,120,-3,24,a,0,0,0,0,0,0,0,0
a,a,W,30101,336,-11,-7,a,0,0,0,0,0,0,0,0
a,a,W,36611,125,-24,-17,a,1,0,0,0,0,117,117,0
c,a,N,6202,597,20,-6,a,0,1,0,0,0,1386,1386,0
a,a,W,2439,225,16,4,a,0,1,0,0,0,2281,2281,0
a,a,N,13653,466,-13,-22,a,0,0,0,0,0,0,0,0
a,a,W,2960,70,-41,8,a,0,1,0,0,0,6716,6716,0
a,b,W,25573,122,31,-35,a,0,1,0,0,0,1115,1115,0
b,b,W,18778,12,3,1,b,0,1,0,0,0,1482,1482,0
a,a,W,17184,427,12,-22,a,0,0,0,0,0,0,0,0
b,a,W,36910,17,-29,0,a,0,1,0,0,0,3102,3102,0
a,b,N,11000,124,23,2,a,0,1,0,0,0,3309,3309,0
c,a,N,72763,471,9,3,a,1,0,0,0,0,639,639,0
a,a,W,41159,130,-22,-19,a,0,1,0,0,0,1388,1388,0
a,b,W,13787,29,35,-31,a,0,0,0,0,0,0,0,0
a,a,W,49776,511,18,14,b,0,1,0,0,0,5828,5828,0
a,a,N,151841,283,16,-9,a,1,0,0,0,0,171,171,0
b,c,N,7473,26,-1,-1,a,0,0,0,0,0,0,0,0
a,a,N,8571,525,18,-21,a,0,0,0,0,0,0,0,0
a,a,W,26046,288,-4,16,a,0,0,0,0,0,0,0,0
b,a,N,23140,376,10,15,a,0,0,0,0,0,0,0,0
b,a,W,5180,167,-6,-14,a,0,0,0,0,0,0,0,0
a,b,W,70443,89,-4,7,a,0,1,0,0,0,2376,2376,0
b,b,W,53286,159,-2,3,a,1,0,0,0,0,299,299,0
a,a,W,3023,98,-81,23,b,0,0,0,0,0,0,0,0
a,a,N,75184,221,-4,-15,a,0,1,0,0,0,1417,1417,0
a,c,N,23486,190,-49,-44,a,0,1,0,0,0,4067,4067,0
c,a,W,54809,75,-25,10,a,0,1,0,0,0,3432,3432,0
a,a,W,12345,24,26,-41,a,0,0,0,0,0,0,0,0
a,a,W,192001,181,33,-48,a,0,1,0,0,0,5068,5068,0
b,a,W,23800,604,-21,13,a,0,0,0,0,0,0,0,0
a,a,W,68084,333,65,85,a,0,0,1,0,0,59235,40186,1
b,a,W,26138,138,-29,19,a,1,0,0,0,0,939,939,0
b,b,N,49433,759,-3,-11,a,1,0,0,0,0,228,228,0
c,b,N,57753,135,5,4,a,0,0,0,0,0,0,0,0
a,a,N,52926,344,8,0,a,1,0,0,0,0,64,64,0
a,a,W,24105,1310,10,6,a,0,1,0,0,0,2809,2809,0
b,a,N,136541,2634,115,63,a,0,0,1,0,0,30738,15767,1
a,a,N,108801,48,-31,-19,a,1,0,0,0,0,36,36,0
a,a,N,92881,334,0,76,b,0,0,1,0,0,28466,13179,1
a,a,N,17554,636,7,42,a,0,0,0,0,0,0,0,0
a,a,N,65139,134,-31,-29,b,0,1,0,0,0,2468,2468,0
b,a,W,7281,468,-28,-29,a,1,0,0,0,0,261,261,0
a,c,W,1734,439,-24,2,a,0,0,0,0,0,0,0,0
a,a,W,109888,95,-23,-69,a,0,1,0,0,0,3927,3927,0
a,a,N,9351,46,-4,5,a,0,1,0,0,0,3620,3620,0
a,a,W,12701,112,-10,39,a,1,0,0,0,0,946,946,0
a,a,N,32396,372,43,0,a,0,0,0,0,0,0,0,0
a,b,W,48076,321,39,-11,a,0,0,0,0,0,0,0,0
a,a,N,9718,71,-11,-3,a,0,0,0,0,0,0,0,0
a,b,N,7907,159,38,0,a,0,0,0,0,0,0,0,0
b,a,W,25834,300,35,-36,a,0,0,0,0,0,0,0,0
a,b,W,8462,57,21,13,b,0,0,0,0,0,0,0,0
a,a,N,42740,783,31,-35,a,0,0,0,0,0,0,0,0
c,a,N,16399,58,-47,7,a,0,1,0,0,0,1814,1814,0
a,a,W,20429,1040,35,41,b,0,0,0,0,0,0,0,0
b,a,W,42684,145,-3,-34,a,0,0,0,0,0,0,0,0
a,a,N,23387,152,38,-27,a,0,0,0,0,0,0,0,0
a,a,W,1898,361,-25,33,a,1,0,0,0,0,759,759,0
b,b,W,4188,77,-16,-6,a,0,1,0,0,0,1577,1577,0
a,a,W,85600,11,-16,26,b,0,1,0,0,0,1322,1322,0
b,a,W,5137,263,9,41,a,0,1,0,0,0,1742,1742,0
b,a,N,76540,252,-27,26,a,0,1,0,0,0,1529,1529,0
a,a,N,209650,519,177,62,a,0,0,1,0,0,160087,63235,1
a,a,N,2961,123,22,-20,a,0,1,0,0,0,1383,1383,0
b,a,W,89055,175,33,10,a,1,0,0,0,0,837,837,0
a,a,N,8389,757,20,14,a,0,1,0,0,0,1612,1612,0
b,b,N,15641,180,-49,26,a,0,0,0,0,0,0,0,0
a,a,W,28529,22,-3,-14,a,0,0,0,0,0,0,0,0
a,a,W,40203,189,-11,58,a,0,1,0,0,0,2764,2764,0
a,a,N,38934,84,30,-21,b,1,0,0,0,0,239,239,0
a,a,N,24062,83,47,-36,a,0,0,0,0,0,0,0,0
